dealer_id,dealer_name,region,revenue,cost,margin_pct,stock_turnover_days,order_count,last_order_date,status
D001,North Auto Ltd,North,125000,95000,24.0,45,120,2025-02-20,active
D002,South Motors,South,89000,82000,7.9,92,45,2025-02-18,active
D003,East Wheels,East,210000,168000,20.0,38,200,2025-02-22,active
D004,West Drive Co,West,45000,44000,2.2,120,22,2025-01-15,warning
D005,Midland Cars,Midland,310000,248000,20.0,35,280,2025-02-23,active
D006,Coastal Auto,Coast,67000,71000,-6.0,85,55,2025-02-10,active
D007,Central Parts,Central,180000,144000,20.0,42,150,2025-02-21,active
D008,Lakeside Motors,Lakes,23000,25000,-8.7,150,12,2024-12-01,inactive
D009,Valley Dealers,Valley,156000,140000,10.3,65,98,2025-02-19,active
D010,Peak Automotive,North,98000,88000,10.2,78,67,2025-02-17,active
